profName,university,nbr citation,specialty
Sara Diouani,"ENSEM, Hassan II University of Casablanca, Morocco",Cited by 27
El Mahdi HALIM,Ph.D University of hassan II of Casablanca,Cited by 27
Tarik CHAFIQ,Hassan II University,Cited by 26
meryem moutataouia,"Researcher, Faculty of sciences Ain Chock, Hassan II University",Cited by 26
Mounir Karim,"PhD Student, Hassan II University of Casablanca",Cited by 26
Rachid CHAABITA,Hassan II University of Casablanca,Cited by 26
My Sadik Maliki,Hassan II University of Casablanca,Cited by 25
Zineb El ASSAL,Hassan II University of Casablanca,Cited by 25
Sophia Zougagh,Université Hassan II de Casablanca,Cited by 25
Rodouan Touti,… of  High Energy Physics and Condensed Matter (PHEMAC) HASSAN II University,Cited by 25
Ghardi El Mehdi,"… condensée, Faculté des sciences Ben M'sik, Université Hassan II de Casablanca, Morocco",Cited by 24
Samir Anter,Université Hassan II de Casablanca,Cited by 23
lamiaa atir,Hassan2 university of casablanca,Cited by 23
jaafar HAMID,"professeur de linguistique française, université Hassan II, Maroc",Cited by 23
Fouad EL HAJJI,Hassan II University of Casablanca,Cited by 22
Souad Azizi,"Professeur d'anthropologie, Université Hassan II de Casablanca",Cited by 22
Mohamed Soufi,"Professeur de géologie, Université Hassan II de Casablanca, Faculté des Sciences Aïn …",Cited by 22
Sara SEKKATE,Université Hassan II Casablanca,Cited by 22
Asmaa Sabir,Université Hassan II,Cited by 20
Jamal KHALIL,Hassan II University of Casablanca,Cited by 20
LILANE AMINE,Université HASSAN II,Cited by 20
Dr. Ikram Mercha,"PhD , Hassan II University Casablanca",Cited by 20
Asmae Laaraibi,"University Hassan II of Casablanca, Faculty of Sciences Ben M'Sick, Department of …",Cited by 20
Mohamed Idbella,"PhD Student, Federico II university/Hassan II university",Cited by 19
Othmane RAHMAOUI,Hassan II University of Casablanca,Cited by 19
Hafsa Abouadane,University of Hassan II Casablanca,Cited by 19
AZ -EDDINE EL MANSOURI,"University of Hassan II, Casablanca, Morocco",Cited by 19
Dalia Allouss,Université Hassan II,Cited by 19
AHBARI Abdellatif,"PhD, Hassan II University of Casablanca",Cited by 18
EL Koufi Amine,"Faculty of Sciences Ben M'sik, Hassan II University",Cited by 18
Raouia Attaallah,Hassan II University of Casablanca,Cited by 18
BEN ALI Mohamed,"Department Génie Mécanique, EST Casablanca, Université Hassan II",Cited by 18
Mustapha KHOUILID,Professeur d'économie à l'Université Hassan II de Casablanca - FSJES Ain Chock,Cited by 17
Youssef el jabbar,"Hassan II University of Casablanca, Morocco",Cited by 17
labdaoui abdellah,Université Hassan II Casablanca,Cited by 17
